Artist_ID,Nama_Artis,Primary_Genre
ART-704C69F3,GILA,Indie / Alternative
ART-D1DB352A,salute,Indie / Alternative
ART-D01C8321,Brainoil,Indie / Alternative
ART-4B9AC7D8,Meduza featuring SHELLS,Indie / Alternative
ART-55620574,Moustache Records,Indie / Alternative
ART-267AE1A5,International Observer,Indie / Alternative
ART-EDA165A7,British Experimental Rocket Group (BERG),Indie / Alternative
ART-22A7C568,The Midnight,Indie / Alternative
ART-FE39FC12,Invincible Force,Indie / Alternative
ART-C1C7589E,Navy Blue,Indie / Alternative
ART-D9246779,Victrola,Indie / Alternative
ART-3E2887F1,Cloudkicker,Indie / Alternative
ART-62E9AB17,Moka Only,Indie / Alternative
ART-407E7D6A,M/\rc0s1d0,Indie / Alternative
ART-6499BFC5,Raver Raver,Indie / Alternative
ART-3B4299A5,Abdominal,Indie / Alternative
ART-3FD66E06,Hada,Indie / Alternative
ART-916E113B,Scuderia,Indie / Alternative
ART-AAB5C926,Bliss Point,Indie / Alternative
ART-30710E2E,New Cool Collective,Indie / Alternative
ART-4215EF66,Forest Drive West,Indie / Alternative
ART-18AF2A47,Nahawa Doumbia,Indie / Alternative
ART-E696BBF7,Justin Jay,Indie / Alternative
ART-F59F7757,Nadejda,Indie / Alternative
ART-2A6D51C7,Gene On Earth,Indie / Alternative
ART-328486C2,Louis La Roche,Indie / Alternative
ART-81741A9F,CLUB CAB,Indie / Alternative
ART-3B129D96,SHXCXCHCXSH,Indie / Alternative
ART-98058ABA,Dimi Angélis,Indie / Alternative
ART-47B372CC,P.E.A.R.L.,Indie / Alternative
ART-40561E7A,Charlton,Indie / Alternative
ART-109C7E2E,Haeken,Indie / Alternative
ART-B40D6140,Forward Strategy Group,Indie / Alternative
ART-374499E8,Tensal,Indie / Alternative
ART-FDC32A55,Radial,Indie / Alternative
ART-39691DDB,VSK,Indie / Alternative
ART-24D01AB8,Echologist,Indie / Alternative
ART-23E6D85C,Lockertmatik,Indie / Alternative
ART-9EC7A0F0,Lag,Indie / Alternative
ART-BFC41A3B,Bas Mooy,Indie / Alternative
ART-F0085F5D,Völur,Indie / Alternative
ART-8E78E7E4,Bill Pohl,Indie / Alternative
ART-E8C5C62D,Drew McDowall,Indie / Alternative
ART-3079ACC8,Be Svendsen,Indie / Alternative
ART-783608CC,Linea Aspera,Indie / Alternative
ART-78977C75,CAF?,Indie / Alternative
ART-60F06D1F,Wayfarer,Indie / Alternative
ART-E09C55D5,Asquith,Indie / Alternative
ART-2FD3F688,Axefield,Indie / Alternative
ART-BF15E399,Carnivorous Bells,Indie / Alternative
ART-65F36FA1,clipping.,Indie / Alternative
ART-045DECD4,Pye Corner Audio,Indie / Alternative
ART-606257BC,Rilo Kiley,Indie / Alternative
ART-7E8E8246,Brook Pridemore,Indie / Alternative
ART-D4F01A95,Indian Wells,Indie / Alternative
ART-9EB0D040,she,Indie / Alternative
ART-13EC6451,Baba Naga,Indie / Alternative
ART-6428C7FB,Trinity Carbon,Indie / Alternative
ART-B9661AA0,DJ Tennis,Indie / Alternative
ART-DFE89197,Footprint Project,Indie / Alternative
ART-C7E6F0E4,Om Unit,Indie / Alternative
ART-4D82C07C,Bokit Production,Indie / Alternative
ART-409F18F2,The Beverly Crushers,Indie / Alternative
ART-5587DD4F,wristroll,Indie / Alternative
ART-117D1FD0,Bloodshot Records,Indie / Alternative
ART-9719FA45,Michael Nau,Indie / Alternative
ART-976ECB1C,1-800 GIRLS,Indie / Alternative
ART-AA4A0E19,Ted Leo & Pharmacists,Indie / Alternative
ART-200C523B,Baby Rollén & Gallegos,Indie / Alternative
ART-EC41A0CC,Keith Fullerton Whitman,Indie / Alternative
ART-62660332,Soul Mass Transit System & Killa P,Indie / Alternative
ART-C7DADCE0,Mark Pritchard,Indie / Alternative
ART-DD2A5ED4,Slingerland,Indie / Alternative
ART-F7029CC0,Colin Clary,Indie / Alternative
ART-896C06FD,fusq,Indie / Alternative
ART-F3C60D81,Shed,Indie / Alternative
ART-6A678EEE,Andrew Lowden,Indie / Alternative
ART-5F36707C,Opto = Opiate + Alva Noto,Indie / Alternative
ART-7850E7F5,Rompante,Indie / Alternative
ART-EC45A52D,EVOL,Indie / Alternative
ART-2021F8A0,Rosa Anschütz,Indie / Alternative
ART-CC2AB148,NET GALA,Indie / Alternative
ART-FFE3FC54,Mossferatu,Indie / Alternative
ART-5036DFFB,Bliss Inc.,Indie / Alternative
ART-46C44ABF,Bell Towers,Indie / Alternative
ART-771A1B14,Jake Walker,Indie / Alternative
ART-EDE320F6,DLV,Indie / Alternative
ART-398995F5,De La Cuna A La Tumba,Indie / Alternative
ART-30D6537D,Modern Technology,Indie / Alternative
ART-710533DD,HOME,Indie / Alternative
ART-772DEFE5,No Aloha Records,Indie / Alternative
ART-038B2B26,Lightning Dust,Indie / Alternative
ART-FDAE8593,World Series,Indie / Alternative
ART-35F71553,Konx-om-Pax,Indie / Alternative
ART-425E038B,Julian Lynch,Indie / Alternative
ART-0A057B77,Matt Mays,Indie / Alternative
